index,id,x,y,z,vx,vy,vz,mass,collision_radius,char_length,area_to_mass,bstar
0,50000,12159859.004624384,-80807.12395359307,339713.92090019037,7159.79145462421,-80.80712395359384,339.7139209001872,0.00285192290414375,0.037914172573811765,0.07582834514762353,1.1093389654632668,0.0
1,50001,12084210.129535023,39557.63420716095,-93866.21417707749,7084.1425795352125,39.55763420716097,-93.86621417707879,0.015914274843005415,0.026918274116555153,0.05383654823311031,0.10004748169998721,0.0
2,50002,12000219.567278596,-37065.828798261755,-9129.602587182584,7000.1520172785595,-37.06582879826156,-9.129602587182495,0.026292362357515343,0.04167750026539968,0.08335500053079936,0.1454675376558911,0.0
3,50003,11884900.527502134,74085.38355399742,-86083.63919884115,6884.832977502557,74.08538355399699,-86.08363919884039,0.01684688787292669,0.03322776578031821,0.06645553156063642,0.14414903062891252,0.0
4,50004,11968495.196631374,-22721.32296882872,-5061.156824817842,6968.427646630944,-22.72132296882869,-5.061156824817901,0.08831139858033357,0.05789007790311571,0.11578015580623142,0.0836865523300404,0.0
5,50005,11825422.215657042,80297.61818965085,-3071.3068137237933,6825.354665656828,80.29761818964991,-3.071306813723756,0.047433123094881416,0.044674986070402316,0.08934997214080463,0.09267903412092879,0.0
6,50006,12053101.397257494,-92851.2420455224,22658.075388186197,7053.033847257435,-92.85124204552152,22.658075388185964,0.024526541881711723,0.02582777239172232,0.05165554478344464,0.059751886737151004,0.0
7,50007,11904359.062126104,-218399.29021834675,89976.90166004235,6904.291512126495,-218.39929021835164,89.97690166004087,0.00359379965454929,0.02585066054472233,0.05170132108944466,0.40851243363505746,0.0
8,50008,12001213.860796962,-26332.747438739552,-28063.96788613241,7001.146310797185,-26.33274743873913,-28.0639678861317,0.0479376296689177,0.044655230661354024,0.08931046132270805,0.09162238268135363,0.0
9,50009,11977810.931357272,143378.5424671342,121079.48912977322,6977.743381357568,143.37854246713195,121.07948912977469,0.015722980876985235,0.040585043678251324,0.08117008735650265,0.23064031021951456,0.0
10,50010,12079021.96339582,10191.391051148628,859.5304781565833,7078.954413395935,10.1913910511488,0.8595304781565911,0.150095996924425,0.07462791729897075,0.1492558345979415,0.0819250944305971,0.0
11,50011,11793006.831478989,44363.229038964935,-378390.2144634087,6792.939281479294,44.36322903896448,-378.39021446341354,0.004219765599341443,0.029156346561807014,0.05831269312361403,0.4428327825360523,0.0
12,50012,11985033.532168461,49551.19802815172,-20444.921764748873,6984.965982168436,49.55119802815188,-20.444921764748923,0.3148484323028894,0.09825704631763614,0.19651409263527228,0.06779094447094754,0.0
13,50013,11780176.942170328,-156179.55185659166,63033.9494789515,6780.109392170736,-156.1795518565898,63.03394947895205,0.2736316597296252,0.13625609239418374,0.2725121847883675,0.1502310775151035,0.0
14,50014,12049627.700971637,125599.16666738277,67307.32973420538,7049.560150971776,125.599166667384,67.30732973420618,1.6728046142408683,0.25582658626024823,0.5116531725204965,0.08688571493897457,0.0
15,50015,11610931.52495073,-159610.67879232892,-112952.02298564168,6610.863974950449,-159.61067879232735,-112.95202298563994,0.006994447686310307,0.03381965071907241,0.06763930143814482,0.35970795200220607,0.0
16,50016,12017776.115086576,-175668.79889958937,-54487.17398854889,7017.708565086649,-175.6687988995873,-54.487173988548186,0.01488286113079267,0.028386921601139144,0.05677384320227829,0.11900285258291934,0.0
17,50017,11988939.498980246,-26586.451874911556,42501.835287063754,6988.871948980362,-26.58645187491205,42.50183528706403,0.11564060942973327,0.0767619841370514,0.1535239682741028,0.11251827727998971,0.0
18,50018,12054321.329206873,-41835.401055085225,13307.097796236569,7054.253779207067,-41.83540105508557,13.307097796236725,0.012282602037740448,0.02800585067943057,0.05601170135886114,0.14034169897779797,0.0
19,50019,11886118.908207601,-212456.27941194153,-498171.0968289961,6886.051358207166,-212.45627941194354,-498.1710968289913,0.021357070813306057,0.03390541844875099,0.06781083689750197,0.11840415347763607,0.0
20,50020,12145310.310544644,116096.52373741745,116650.53080680108,7145.242760544762,116.09652373741515,116.65053080680256,0.045347227387616575,0.04864377486736658,0.09728754973473316,0.11497731931327629,0.0
21,50021,12036707.98071866,-5.5262171790154975,34399.54854511576,7036.640430718585,-0.005526217179015436,34.39954854511513,0.001494615015525843,0.025094995785979783,0.050189991571959566,0.9255504772550543,0.0
22,50022,12050082.547402207,-137122.62062770518,47652.12093824828,7050.014997402503,-137.12262062770426,47.652120938248984,0.006316480185041546,0.027867569952544743,0.055735139905089486,0.27020446079879973,0.0
23,50023,12015914.601199524,58162.21948080787,-257427.79801117152,7015.847051199092,58.1622194808082,-257.4277980111753,0.013650896921278353,0.026327165291255672,0.052654330582511344,0.11155786880416252,0.0
24,50024,12052247.945450442,-31032.819677134143,-15234.80978592658,7052.180395450256,-31.032819677134608,-15.234809785926293,2.9789336552252625,0.25795474551771047,0.5159094910354209,0.04960727780350912,0.0
25,50025,12020617.51192269,22272.584700632906,49112.331177887005,7020.549961922469,22.272584700632642,49.112331177887754,0.029217999424701328,0.03006201700835498,0.06012403401670996,0.06800019869209008,0.0
26,50026,11932408.451309169,-10503.36534448306,-12123.054737468772,6932.340901308964,-10.503365344483084,-12.123054737468534,0.06052070955041108,0.08480504647566135,0.1696100929513227,0.262533163836801,0.0
27,50027,9910447.06945764,-1328480.3481931095,1145717.6260936803,4910.379519457749,-1328.4803481931428,1145.7176260937076,0.002696878436625062,0.029545334764358017,0.059090669528716035,0.7115500274633785,0.0
28,50028,12001593.940416098,8066.063715759821,21611.25908887588,7001.52639041562,8.066063715759876,21.6112590888758,0.03849103198027728,0.027692525143863618,0.055385050287727236,0.043784675177617104,0.0
29,50029,12809010.777885694,1452601.040488977,1892587.548497771,7808.943227886217,1452.6010404889762,1892.5875484977425,0.0418766529287878,0.06310207117576835,0.1262041423515367,0.20977594718731954,0.0
30,50030,12087954.430575194,-4702.580702570607,380.347089968719,7087.886880575436,-4.702580702570608,0.38034708996871414,0.02758410900567356,0.027054970301190452,0.054109940602380904,0.05831014371671038,0.0
31,50031,12202961.450630995,-25593.009591334554,12518.451971504419,7202.893900630792,-25.593009591334457,12.51845197150452,0.0031646820499287923,0.02701018101498982,0.05402036202997964,0.5065595032899619,0.0
32,50032,11684543.931063462,237020.48654810843,-323608.84078768565,6684.476381063886,237.02048654811344,-323.6088407876852,0.06799103612754594,0.05753740149383913,0.11507480298767826,0.10737433982108584,0.0
33,50033,11998594.39823655,796.78984462681,-15361.770609710698,6998.5268482368665,0.7967898446268268,-15.36177060971106,0.01773188228710946,0.02545488006553749,0.05090976013107498,0.08027338534409256,0.0
34,50034,12041666.196568135,-11168.459542374007,-29922.7737188893,7041.598646568406,-11.168459542374146,-29.922773718889804,0.046584146650801635,0.050654575944138434,0.10130915188827687,0.12139209783082541,0.0
35,50035,11922121.215425173,-82913.4435068696,-156105.97962842684,6922.0536654247135,-82.91344350686842,-156.1059796284291,0.03055006623354879,0.04601968215740557,0.09203936431481113,0.1527109126981045,0.0
36,50036,12018255.571792098,-256726.51287508817,42839.03792242944,7018.188021791824,-256.72651287509024,42.83903792243002,0.02427877355881752,0.03002971257103926,0.06005942514207852,0.08165782977450516,0.0
37,50037,12008577.617780983,106695.61552716081,36856.876359112604,7008.510067780649,106.6956155271591,36.85687635911208,0.026844686789830565,0.02791910082383969,0.05583820164767938,0.06381426077621241,0.0
38,50038,12052831.20258731,130769.93516294193,18927.546664237274,7052.763652587454,130.76993516294345,18.927546664237422,0.015798593529376258,0.03127837701130002,0.06255675402260004,0.1361681431816761,0.0
39,50039,12018434.775246054,50404.48479100632,-50289.92288284834,7018.367225245656,50.40448479100674,-50.2899228828489,0.015445379126082234,0.036479863635284715,0.07295972727056943,0.18959543523840788,0.0
40,50040,11965738.249277893,357371.460896139,578118.0051206086,6965.670699278193,357.37146089613407,578.1180051206064,0.008944514620212611,0.03390649617567442,0.06781299235134884,0.28273496537935566,0.0
